BL,hidden_size,baseline_us,smart_us,offset_0,offset_64,offset_128,offset_192,offset_256
1024,8192,305.5039942264557,316.4159953594208,316.4159953594208,384.3519985675812,384.5759928226471,400.7679969072342,358.71999710798264
1280,8192,369.6640133857727,399.80798959732056,455.4560035467148,473.9840030670166,399.80798959732056,445.47198712825775,445.18399238586426
1536,8192,434.08000469207764,463.00800144672394,484.9279969930649,535.6480032205582,515.4559910297394,530.815988779068,463.00800144672394
1792,8192,495.9680140018463,541.9519990682602,572.8000104427338,588.4479880332947,541.9519990682602,591.8400138616562,574.30399954319
2048,8192,562.4639987945557,604.3840050697327,604.3840050697327,645.7599997520447,632.4479877948761,653.2480120658875,610.2079898118973
2304,8192,623.3279705047607,672.9280054569244,695.7760155200958,717.4400091171265,672.9280054569244,715.4240012168884,699.64799284935
2560,8192,686.3359808921814,738.431990146637,742.5280213356018,782.6880216598511,760.4160010814667,782.2079956531525,738.431990146637
2816,8192,747.8079795837402,802.4640083312988,820.6399977207184,842.0799970626831,802.4640083312988,841.407984495163,819.8080062866211
3072,8192,815.6800270080566,865.088015794754,867.4559891223907,905.0879776477814,884.4480216503143,902.6879966259003,865.088015794754
3328,8192,877.1200180053711,911.2640023231506,951.9039988517761,968.6720073223114,933.536022901535,933.1199824810028,911.2640023231506
3584,8192,870.4320192337036,975.6799936294556,993.4719800949097,990.0479912757874,975.6799936294556,1031.1680138111115,992.8319752216339
3840,8192,960.9599709510803,994.5280253887177,994.5280253887177,1051.2960255146027,1051.9359707832336,1068.5759782791138,1050.9119927883148
