model_name,gpu_count,impl,prompt_len,avg_latency(ms)
Llama-3.3-70B-Instruct,8,baseline_multimem,1024,53.56232989579439
Llama-3.3-70B-Instruct,8,baseline_multimem,2048,93.88688430190086
Llama-3.3-70B-Instruct,8,baseline_multimem,4096,179.03451547026634
Llama-3.3-70B-Instruct,8,baseline_multimem,8192,354.65820090224344
Llama-3.3-70B-Instruct,8,baseline_multimem,16384,735.6599952715138
Llama-3.3-70B-Instruct,8,baseline_multimem,32768,1626.2007479555905
Llama-3.3-70B-Instruct,8,no_ar1,1024,47.332044846067824
Llama-3.3-70B-Instruct,8,no_ar1,2048,83.03547520190477
Llama-3.3-70B-Instruct,8,no_ar1,4096,159.98475377758345
Llama-3.3-70B-Instruct,8,no_ar1,8192,322.43212312459946
Llama-3.3-70B-Instruct,8,no_ar1,16384,675.1209110952914
Llama-3.3-70B-Instruct,8,no_ar1,32768,1518.771778512746
Llama-3.3-70B-Instruct,8,no_ar2,1024,47.791851591318846
Llama-3.3-70B-Instruct,8,no_ar2,2048,83.0012956323723
Llama-3.3-70B-Instruct,8,no_ar2,4096,160.12926418334246
Llama-3.3-70B-Instruct,8,no_ar2,8192,321.73291410629946
Llama-3.3-70B-Instruct,8,no_ar2,16384,676.8573313641051
Llama-3.3-70B-Instruct,8,no_ar2,32768,1503.3781206856172
Llama-3.3-70B-Instruct,8,no_ln1,1024,51.65414543201526
Llama-3.3-70B-Instruct,8,no_ln1,2048,90.01808368290465
Llama-3.3-70B-Instruct,8,no_ln1,4096,171.7610059926907
Llama-3.3-70B-Instruct,8,no_ln1,8192,340.2627993064622
Llama-3.3-70B-Instruct,8,no_ln1,16384,701.8748335850736
Llama-3.3-70B-Instruct,8,no_ln1,32768,1569.9034880536299
Llama-3.3-70B-Instruct,8,no_ln2,1024,51.77285711591443
Llama-3.3-70B-Instruct,8,no_ln2,2048,90.13027446344495
Llama-3.3-70B-Instruct,8,no_ln2,4096,171.72697357212505
Llama-3.3-70B-Instruct,8,no_ln2,8192,339.8990605336924
Llama-3.3-70B-Instruct,8,no_ln2,16384,700.5813689591984
Llama-3.3-70B-Instruct,8,no_ln2,32768,1563.1492988516886
Qwen2.5-72B-Instruct,8,baseline_multimem,1024,54.15322047968706
Qwen2.5-72B-Instruct,8,baseline_multimem,2048,96.80450366189082
Qwen2.5-72B-Instruct,8,baseline_multimem,4096,183.39685924972096
Qwen2.5-72B-Instruct,8,baseline_multimem,8192,355.4499206133187
Qwen2.5-72B-Instruct,8,baseline_multimem,16384,747.6964260141054
Qwen2.5-72B-Instruct,8,baseline_multimem,32768,1643.5474840613704
Qwen2.5-72B-Instruct,8,no_ar1,1024,48.117300712813936
Qwen2.5-72B-Instruct,8,no_ar1,2048,86.0141050691406
Qwen2.5-72B-Instruct,8,no_ar1,4096,164.17195700729886
Qwen2.5-72B-Instruct,8,no_ar1,8192,327.59135998785496
Qwen2.5-72B-Instruct,8,no_ar1,16384,691.3553022469083
Qwen2.5-72B-Instruct,8,no_ar1,32768,1543.2480769852798
Qwen2.5-72B-Instruct,8,no_ar2,1024,48.42407995214065
Qwen2.5-72B-Instruct,8,no_ar2,2048,86.18166766439874
Qwen2.5-72B-Instruct,8,no_ar2,4096,163.60277722900113
Qwen2.5-72B-Instruct,8,no_ar2,8192,326.0253863098721
Qwen2.5-72B-Instruct,8,no_ar2,16384,688.614286792775
Qwen2.5-72B-Instruct,8,no_ar2,32768,1531.945025579383
Qwen2.5-72B-Instruct,8,no_ln1,1024,52.340710473557316
Qwen2.5-72B-Instruct,8,no_ln1,2048,92.93322482456763
Qwen2.5-72B-Instruct,8,no_ln1,4096,175.79410867765546
Qwen2.5-72B-Instruct,8,no_ln1,8192,341.6099885168175
Qwen2.5-72B-Instruct,8,no_ln1,16384,723.790596332401
Qwen2.5-72B-Instruct,8,no_ln1,32768,1605.581877939403
Qwen2.5-72B-Instruct,8,no_ln2,1024,52.617151476442814
Qwen2.5-72B-Instruct,8,no_ln2,2048,93.20433267081778
Qwen2.5-72B-Instruct,8,no_ln2,4096,176.07145284612974
Qwen2.5-72B-Instruct,8,no_ln2,8192,342.45655663932365
Qwen2.5-72B-Instruct,8,no_ln2,16384,721.8696561641991
Qwen2.5-72B-Instruct,8,no_ln2,32768,1600.7133008912206
