BL,hidden_size,multimem_ctas,correctness,pytorch_dist_ar_us,multimem_ar_us,pytorch_dist_rs_us,multimem_rs_us,pytorch_dist_ag_us,multimem_ag_us
64,8192,2,True,36.38400137424469,18.783999606966972,29.152000322937965,17.311999574303627,29.632000252604485,13.98400031030178
128,8192,2,True,55.64799904823303,24.320000782608986,35.77600046992302,24.480000138282776,35.2960005402565,16.992000862956047
256,8192,2,True,67.1359971165657,38.047999143600464,55.64799904823303,35.32800078392029,50.20799860358238,22.495999932289124
512,8192,2,True,94.46399658918381,61.47199869155884,63.968002796173096,58.97599831223488,60.095999389886856,33.952001482248306
1024,8192,2,True,137.37599551677704,108.5439994931221,92.0960009098053,104.44799810647964,89.79199826717377,55.64799904823303
2048,8192,2,True,219.9680060148239,202.68799364566803,125.5359947681427,193.1840032339096,136.1279934644699,100.38399696350098
4096,8192,2,True,348.25599193573,388.3199989795685,210.68799495697021,371.3279962539673,217.82399713993073,191.67999923229218
8192,8192,2,True,646.4959979057312,763.2319927215576,391.9680118560791,727.2639870643616,396.64000272750854,372.8640079498291
16384,8192,2,True,1232.5439453125,1508.3199739456177,734.3360185623169,1439.3279552459717,753.8880109786987,751.9680261611938
32768,8192,2,True,2403.9359092712402,2995.7759380340576,1422.3359823226929,2863.679885864258,1443.552017211914,1460.479974746704
64,8192,4,True,36.41600161790848,15.968000516295433,29.440000653266907,15.744000673294067,30.848000198602676,13.919999822974205
128,8192,4,True,55.64799904823303,20.8320003002882,35.711999982595444,19.360000267624855,35.32800078392029,16.831999644637108
256,8192,4,True,67.19999760389328,28.863999992609024,56.51199817657471,25.696000084280968,50.23999884724617,22.175999358296394
512,8192,4,True,94.62399780750275,45.05600035190582,63.968002796173096,39.16800022125244,59.967998415231705,33.376000821590424
1024,8192,4,True,137.02400028705597,76.31999999284744,91.87199920415878,64.83200192451477,89.47200328111649,55.67999929189682
2048,8192,4,True,219.64800357818604,139.0399932861328,125.88800489902496,114.56000059843063,136.51199638843536,100.41599720716476
4096,8192,4,True,347.9039967060089,262.36799359321594,208.95999670028687,214.1440063714981,219.26400065422058,189.98399376869202
8192,8192,4,True,646.3680267333984,509.8879933357239,392.92800426483154,411.1360013484955,395.80801129341125,369.85599994659424
16384,8192,4,True,1232.640027999878,1002.303957939148,735.0720167160034,806.4320087432861,758.1120133399963,730.6560277938843
32768,8192,4,True,2404.99210357666,1991.1680221557617,1419.1999435424805,1598.8479852676392,1436.1599683761597,1450.5280256271362
64,8192,8,True,36.3520011305809,17.75999926030636,29.279999434947968,16.96000061929226,29.791999608278275,14.399999752640724
128,8192,8,True,55.615998804569244,21.023999899625778,35.58399900794029,19.29599978029728,35.360001027584076,17.152000218629837
256,8192,8,True,67.19999760389328,29.24799919128418,55.32800033688545,25.919999927282333,50.71999877691269,22.975999861955643
512,8192,8,True,94.62399780750275,43.96799951791763,64.12799656391144,37.11999952793121,60.095999389886856,33.663999289274216
1024,8192,8,True,137.11999356746674,74.94399696588516,90.81599861383438,60.03199890255928,89.37600255012512,55.32800033688545
2048,8192,8,True,219.7760045528412,136.3839954137802,125.59999525547028,107.32799768447876,136.03200018405914,100.54399818181992
4096,8192,8,True,347.7439880371094,257.4400007724762,209.85600352287292,200.3519982099533,217.8560048341751,189.91999328136444
8192,8192,8,True,646.2079882621765,501.3759732246399,390.6880021095276,386.59200072288513,395.29600739479065,368.9599931240082
16384,8192,8,True,1232.5760126113892,987.2000217437744,733.951985836029,760.6719732284546,752.9919743537903,727.9040217399597
32768,8192,8,True,2403.1360149383545,1959.5839977264404,1420.7359552383423,1503.1039714813232,1440.5440092086792,1445.3439712524414
64,8192,16,True,36.80000081658363,18.079999834299088,29.37600016593933,16.704000532627106,29.664000496268272,13.632000423967838
128,8192,16,True,55.96800148487091,20.767999812960625,35.26400029659271,19.360000267624855,35.26400029659271,16.831999644637108
256,8192,16,True,67.26399809122086,29.311999678611755,56.57599866390228,25.472000241279602,49.75999891757965,22.272000089287758
512,8192,16,True,94.65599805116653,44.319998472929,63.77600133419037,36.51199862360954,60.28800085186958,33.63199904561043
1024,8192,16,True,136.9280070066452,75.3600001335144,91.16800129413605,59.7120001912117,89.34400230646133,55.93600124120712
2048,8192,16,True,219.64800357818604,135.8720064163208,125.44000148773193,106.01600259542465,136.4160031080246,100.44799745082855
4096,8192,16,True,347.135990858078,257.5039863586426,208.70399475097656,198.14400374889374,219.52000260353088,189.91999328136444
8192,8192,16,True,644.864022731781,500.60802698135376,396.60799503326416,383.58399271965027,396.9919979572296,369.1520094871521
16384,8192,16,True,1229.472041130066,985.7919812202454,732.0320010185242,752.9600262641907,757.6959729194641,727.4559736251831
32768,8192,16,True,2406.0800075531006,1956.0320377349854,1419.7759628295898,1496.2879419326782,1438.1439685821533,1444.2559480667114
64,8192,32,True,37.376001477241516,16.992000862956047,29.055999591946602,17.055999487638474,29.664000496268272,13.728000223636627
128,8192,32,True,55.58399856090546,21.215999498963356,35.13599932193756,19.519999623298645,35.58399900794029,16.448000445961952
256,8192,32,True,67.10399687290192,32.3840007185936,53.92000079154968,25.119999423623085,50.27199909090996,22.495999932289124
512,8192,32,True,94.65599805116653,49.056001007556915,63.968002796173096,36.320000886917114,60.095999389886856,33.215999603271484
1024,8192,32,True,137.40800321102142,79.71200346946716,91.16800129413605,60.095999389886856,89.31200206279755,56.48000165820122
2048,8192,32,True,219.93599832057953,141.31200313568115,125.47199428081512,105.15200346708298,136.06399297714233,100.28800368309021
4096,8192,32,True,348.35198521614075,262.56000995635986,210.4640007019043,197.1520036458969,217.75999665260315,190.0160014629364
8192,8192,32,True,647.0720171928406,505.72800636291504,393.92000436782837,382.1119964122772,397.43998646736145,368.76800656318665
16384,8192,32,True,1232.3520183563232,992.031991481781,732.1599721908569,750.0799894332886,752.7999877929688,727.1999716758728
32768,8192,32,True,2404.47998046875,1960.5120420455933,1418.7840223312378,1491.4239645004272,1439.8080110549927,1443.8719749450684
