model_name,gpu_count,impl,prompt_len,avg_latency(ms)
Qwen2.5-72B-Instruct,8,no_ar2,32768,1528.0557091658313
Qwen2.5-72B-Instruct,8,no_ln1,1024,52.48208583022157
Qwen2.5-72B-Instruct,8,no_ln1,2048,92.86315195883314
Qwen2.5-72B-Instruct,8,no_ln1,4096,175.7670094879965
Qwen2.5-72B-Instruct,8,no_ln1,8192,341.25218875706196
Qwen2.5-72B-Instruct,8,no_ln1,16384,722.6394108496606
Qwen2.5-72B-Instruct,8,no_ln1,32768,1599.8760141432285
Qwen2.5-72B-Instruct,8,no_ln2,1024,52.34770200525721
Qwen2.5-72B-Instruct,8,no_ln2,2048,93.10983506341775
Qwen2.5-72B-Instruct,8,no_ln2,4096,175.79032918438315
Qwen2.5-72B-Instruct,8,no_ln2,8192,341.2275243550539
Qwen2.5-72B-Instruct,8,no_ln2,16384,717.5985340029001
Qwen2.5-72B-Instruct,8,no_ln2,32768,1599.824954693516
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,1024,42.871321768810354
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,2048,67.81867444515228
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,4096,120.4637788546582
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,8192,229.24465031052628
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,16384,467.3676234980424
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,32768,1012.9779952578247
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,1024,39.43425885712107
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,2048,62.25083380316695
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,4096,109.59269121910135
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,8192,210.26609847322106
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,16384,436.478428915143
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,32768,961.3294846378267
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,1024,39.059200106809534
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,2048,61.75048053264618
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,4096,109.48616455619533
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,8192,209.09135968734822
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,16384,436.4681993611157
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,32768,951.7714981610576
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,1024,41.09685895964503
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,2048,64.9696727283299
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,4096,115.80528641740482
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,8192,221.1060868576169
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,16384,451.10426352669793
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,32768,979.5384177317222
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,1024,41.20985250920057
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,2048,63.72728279481331
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,4096,115.82764368504286
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,8192,221.66650099679828
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,16384,452.013885229826
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,32768,982.888580330958
