model_name,gpu_count,impl,prompt_len,avg_latency(ms)
Llama-3.3-70B-Instruct,8,baseline_multimem,1024,53.643731493502855
Llama-3.3-70B-Instruct,8,baseline_multimem,2048,93.94048781444629
Llama-3.3-70B-Instruct,8,baseline_multimem,4096,179.1477169531087
Llama-3.3-70B-Instruct,8,baseline_multimem,8192,354.78534577414393
Llama-3.3-70B-Instruct,8,baseline_multimem,16384,734.126201675584
Llama-3.3-70B-Instruct,8,baseline_multimem,32768,1631.0040816975136
Llama-3.3-70B-Instruct,8,no_ar1,1024,47.423004979888596
Llama-3.3-70B-Instruct,8,no_ar1,2048,83.00497382879257
Llama-3.3-70B-Instruct,8,no_ar1,4096,160.62515589098135
Llama-3.3-70B-Instruct,8,no_ar1,8192,323.3791484187047
Llama-3.3-70B-Instruct,8,no_ar1,16384,676.9119245000184
Llama-3.3-70B-Instruct,8,no_ar1,32768,1523.2453543382387
Llama-3.3-70B-Instruct,8,no_ar2,1024,47.73620745788018
Llama-3.3-70B-Instruct,8,no_ar2,2048,83.30100877210498
Llama-3.3-70B-Instruct,8,no_ar2,4096,159.23335406308374
Llama-3.3-70B-Instruct,8,no_ar2,8192,320.6247896887362
Llama-3.3-70B-Instruct,8,no_ar2,16384,674.8551218149563
Llama-3.3-70B-Instruct,8,no_ar2,32768,1504.098455638935
Llama-3.3-70B-Instruct,8,no_ln1,1024,51.55782587826252
Llama-3.3-70B-Instruct,8,no_ln1,2048,90.00690427298348
Llama-3.3-70B-Instruct,8,no_ln1,4096,171.6318548657
Llama-3.3-70B-Instruct,8,no_ln1,8192,340.1458425447345
Llama-3.3-70B-Instruct,8,no_ln1,16384,703.738368395716
Llama-3.3-70B-Instruct,8,no_ln1,32768,1568.1841876978676
Llama-3.3-70B-Instruct,8,no_ln2,1024,51.76155557855964
Llama-3.3-70B-Instruct,8,no_ln2,2048,90.1089676655829
Llama-3.3-70B-Instruct,8,no_ln2,4096,171.47415624931455
Llama-3.3-70B-Instruct,8,no_ln2,8192,340.21031071121496
Llama-3.3-70B-Instruct,8,no_ln2,16384,702.1840871311724
Llama-3.3-70B-Instruct,8,no_ln2,32768,1562.288159194092
Qwen2.5-72B-Instruct,8,baseline_multimem,1024,54.15176212166747
Qwen2.5-72B-Instruct,8,baseline_multimem,2048,96.7166218906641
Qwen2.5-72B-Instruct,8,baseline_multimem,4096,183.0453684863945
Qwen2.5-72B-Instruct,8,baseline_multimem,8192,355.22535204266507
Qwen2.5-72B-Instruct,8,baseline_multimem,16384,746.8157022570571
Qwen2.5-72B-Instruct,8,baseline_multimem,32768,1653.3677321858704
Qwen2.5-72B-Instruct,8,no_ar1,1024,48.07297013079127
Qwen2.5-72B-Instruct,8,no_ar1,2048,86.01116742938757
Qwen2.5-72B-Instruct,8,no_ar1,4096,164.0228054796656
Qwen2.5-72B-Instruct,8,no_ar1,8192,327.398632435749
Qwen2.5-72B-Instruct,8,no_ar1,16384,690.0672439485788
Qwen2.5-72B-Instruct,8,no_ar1,32768,1544.9634342764814
Qwen2.5-72B-Instruct,8,no_ar2,1024,48.51755776132146
Qwen2.5-72B-Instruct,8,no_ar2,2048,86.03187259286642
Qwen2.5-72B-Instruct,8,no_ar2,4096,164.16776962578297
Qwen2.5-72B-Instruct,8,no_ar2,8192,327.86850860963267
Qwen2.5-72B-Instruct,8,no_ar2,16384,689.280775282532
