model_name,gpu_count,impl,prompt_len,avg_latency(ms)
Llama-3.3-70B-Instruct,8,baseline_multimem,1024,53.63228569428126
Llama-3.3-70B-Instruct,8,baseline_multimem,2048,94.06258463859558
Llama-3.3-70B-Instruct,8,baseline_multimem,4096,179.11002784967422
Llama-3.3-70B-Instruct,8,baseline_multimem,8192,354.70756804570556
Llama-3.3-70B-Instruct,8,baseline_multimem,16384,735.9841376232604
Llama-3.3-70B-Instruct,8,baseline_multimem,32768,1628.576179003964
Llama-3.3-70B-Instruct,8,no_ar1,1024,47.16130265345176
Llama-3.3-70B-Instruct,8,no_ar1,2048,82.82867452750604
Llama-3.3-70B-Instruct,8,no_ar1,4096,159.8284694366157
Llama-3.3-70B-Instruct,8,no_ar1,8192,321.5310722589493
Llama-3.3-70B-Instruct,8,no_ar1,16384,675.5245937655369
Llama-3.3-70B-Instruct,8,no_ar1,32768,1521.0783828049898
Llama-3.3-70B-Instruct,8,no_ar2,1024,47.8638903858761
Llama-3.3-70B-Instruct,8,no_ar2,2048,83.28303930660088
Llama-3.3-70B-Instruct,8,no_ar2,4096,159.73800159990788
Llama-3.3-70B-Instruct,8,no_ar2,8192,320.64456958323717
Llama-3.3-70B-Instruct,8,no_ar2,16384,676.4803414233029
Llama-3.3-70B-Instruct,8,no_ar2,32768,1503.14015376692
Llama-3.3-70B-Instruct,8,no_ln1,1024,51.70793663710356
Llama-3.3-70B-Instruct,8,no_ln1,2048,90.19329575821757
Llama-3.3-70B-Instruct,8,no_ln1,4096,171.66646771753827
Llama-3.3-70B-Instruct,8,no_ln1,8192,340.3187341367205
Llama-3.3-70B-Instruct,8,no_ln1,16384,703.1449129184087
Llama-3.3-70B-Instruct,8,no_ln1,32768,1564.998752096047
Llama-3.3-70B-Instruct,8,no_ln2,1024,51.74407875165343
Llama-3.3-70B-Instruct,8,no_ln2,2048,90.11399913579226
Llama-3.3-70B-Instruct,8,no_ln2,4096,171.73834691445032
Llama-3.3-70B-Instruct,8,no_ln2,8192,340.0397799909115
Llama-3.3-70B-Instruct,8,no_ln2,16384,702.057927660644
Llama-3.3-70B-Instruct,8,no_ln2,32768,1559.8937403410673
Qwen2.5-72B-Instruct,8,baseline_multimem,1024,54.294401283065476
Qwen2.5-72B-Instruct,8,baseline_multimem,2048,96.78933620452881
Qwen2.5-72B-Instruct,8,baseline_multimem,4096,183.3890157441298
Qwen2.5-72B-Instruct,8,baseline_multimem,8192,356.587633707871
Qwen2.5-72B-Instruct,8,baseline_multimem,16384,749.6579827119907
Qwen2.5-72B-Instruct,8,baseline_multimem,32768,1642.2329714211326
Qwen2.5-72B-Instruct,8,no_ar1,1024,48.10723755508661
Qwen2.5-72B-Instruct,8,no_ar1,2048,86.0369454137981
Qwen2.5-72B-Instruct,8,no_ar1,4096,163.9041050647696
Qwen2.5-72B-Instruct,8,no_ar1,8192,327.6098663918674
Qwen2.5-72B-Instruct,8,no_ar1,16384,689.3946273873249
Qwen2.5-72B-Instruct,8,no_ar1,32768,1543.480189672361
Qwen2.5-72B-Instruct,8,no_ar2,1024,47.927616319308676
Qwen2.5-72B-Instruct,8,no_ar2,2048,85.62396711980303
