model_name,gpu_count,impl,prompt_len,avg_latency(ms)
Llama-3.3-70B-Instruct,8,baseline_multimem,1024,53.45052449653546
Llama-3.3-70B-Instruct,8,baseline_multimem,2048,93.80478194604318
Llama-3.3-70B-Instruct,8,baseline_multimem,4096,178.99203741302094
Llama-3.3-70B-Instruct,8,baseline_multimem,8192,354.96714388330776
Llama-3.3-70B-Instruct,8,baseline_multimem,16384,734.3663353162507
Llama-3.3-70B-Instruct,8,baseline_multimem,32768,1624.5712717374165
Llama-3.3-70B-Instruct,8,no_ar1,1024,47.228249783317246
Llama-3.3-70B-Instruct,8,no_ar1,2048,82.831561503311
Llama-3.3-70B-Instruct,8,no_ar1,4096,159.9494437687099
Llama-3.3-70B-Instruct,8,no_ar1,8192,321.49870386347175
Llama-3.3-70B-Instruct,8,no_ar1,16384,675.4621883233389
Llama-3.3-70B-Instruct,8,no_ar1,32768,1516.1170924082398
Llama-3.3-70B-Instruct,8,no_ar2,1024,47.879861667752266
Llama-3.3-70B-Instruct,8,no_ar2,2048,82.9696270947655
Llama-3.3-70B-Instruct,8,no_ar2,4096,159.69800297170877
Llama-3.3-70B-Instruct,8,no_ar2,8192,320.12790472557145
Llama-3.3-70B-Instruct,8,no_ar2,16384,676.1481204380592
Llama-3.3-70B-Instruct,8,no_ar2,32768,1503.2617740953963
Llama-3.3-70B-Instruct,8,no_ln1,1024,51.77886188030243
Llama-3.3-70B-Instruct,8,no_ln1,2048,90.10653470953305
Llama-3.3-70B-Instruct,8,no_ln1,4096,171.31259751816592
Llama-3.3-70B-Instruct,8,no_ln1,8192,340.1376256408791
Llama-3.3-70B-Instruct,8,no_ln1,16384,704.571799437205
Llama-3.3-70B-Instruct,8,no_ln1,32768,1575.4568870179355
Llama-3.3-70B-Instruct,8,no_ln2,1024,51.67653498550256
Llama-3.3-70B-Instruct,8,no_ln2,2048,90.23513610785206
Llama-3.3-70B-Instruct,8,no_ln2,4096,171.81896955395737
Llama-3.3-70B-Instruct,8,no_ln2,8192,340.0014092524846
Llama-3.3-70B-Instruct,8,no_ln2,16384,701.0004140436649
Llama-3.3-70B-Instruct,8,no_ln2,32768,1562.1412117344637
Qwen2.5-72B-Instruct,8,baseline_multimem,1024,54.2927329428494
Qwen2.5-72B-Instruct,8,baseline_multimem,2048,96.94601120427251
Qwen2.5-72B-Instruct,8,baseline_multimem,4096,183.6762483852605
Qwen2.5-72B-Instruct,8,baseline_multimem,8192,356.2296509432296
Qwen2.5-72B-Instruct,8,baseline_multimem,16384,749.9289087330302
Qwen2.5-72B-Instruct,8,baseline_multimem,32768,1651.812111089627
Qwen2.5-72B-Instruct,8,no_ar1,1024,48.15829616660873
Qwen2.5-72B-Instruct,8,no_ar1,2048,86.27088069915771
Qwen2.5-72B-Instruct,8,no_ar1,4096,164.1576448455453
Qwen2.5-72B-Instruct,8,no_ar1,8192,327.1866804609696
Qwen2.5-72B-Instruct,8,no_ar1,16384,690.0511879163483
Qwen2.5-72B-Instruct,8,no_ar1,32768,1544.1555235534906
Qwen2.5-72B-Instruct,8,no_ar2,1024,48.35986911008755
Qwen2.5-72B-Instruct,8,no_ar2,2048,86.15310598785679
Qwen2.5-72B-Instruct,8,no_ar2,4096,163.55315294737616
Qwen2.5-72B-Instruct,8,no_ar2,8192,326.6359210014343
Qwen2.5-72B-Instruct,8,no_ar2,16384,688.8920290085176
Qwen2.5-72B-Instruct,8,no_ar2,32768,1531.8664253068466
Qwen2.5-72B-Instruct,8,no_ln1,1024,51.945509761571884
Qwen2.5-72B-Instruct,8,no_ln1,2048,92.7207781933248
Qwen2.5-72B-Instruct,8,no_ln1,4096,175.5199116344253
Qwen2.5-72B-Instruct,8,no_ln1,8192,341.10852759331465
Qwen2.5-72B-Instruct,8,no_ln1,16384,724.6250046727558
Qwen2.5-72B-Instruct,8,no_ln1,32768,1600.6683272309601
Qwen2.5-72B-Instruct,8,no_ln2,1024,52.443542486677565
Qwen2.5-72B-Instruct,8,no_ln2,2048,93.12663683667779
