model_name,gpu_count,dataset,input_len,output_len,impl,requests_per_sec,total_tokens_per_sec,output_tokens_per_sec,total_prompt_tokens,total_output_tokens
Llama-3.3-70B-Instruct,4,random,2048,128,no_ar,6.58,14314.96,842.06,2048000,128000
Llama-3.3-70B-Instruct,4,random,2048,128,baseline_multimem,5.87,12766.71,750.98,2048000,128000
Llama-3.3-70B-Instruct,4,random,2048,128,overlap_fused,6.28,13656.02,803.30,2048000,128000
Qwen2.5-72B-Instruct,8,random,2048,128,no_ar,10.73,23345.47,1373.26,2048000,128000
Qwen2.5-72B-Instruct,8,random,2048,128,baseline_multimem,8.67,18874.02,1110.24,2048000,128000
Qwen2.5-72B-Instruct,8,random,2048,128,overlap_fused,10.58,23029.32,1354.67,2048000,128000
Qwen2.5-72B-Instruct,4,random,2048,128,no_ar,6.34,13794.28,811.43,2048000,128000
Qwen2.5-72B-Instruct,4,random,2048,128,baseline_multimem,5.65,12301.29,723.61,2048000,128000
Qwen2.5-72B-Instruct,4,random,2048,128,overlap_fused,6.12,13309.46,782.91,2048000,128000
Mixtral-8x22B-Instruct-v0.1,8,random,2048,128,no_ar,15.41,33528.42,1972.26,2048000,128000
Mixtral-8x22B-Instruct-v0.1,8,random,2048,128,baseline_multimem,13.08,28459.67,1674.10,2048000,128000
Mixtral-8x22B-Instruct-v0.1,8,random,2048,128,overlap_fused,14.99,32622.72,1918.98,2048000,128000
Llama-3.3-70B-Instruct,8,sharegpt,,,no_ar,34.39,14222.59,6821.49,215196,198343
Llama-3.3-70B-Instruct,8,sharegpt,,,baseline_multimem,27.66,11439.55,5486.67,215196,198343
Llama-3.3-70B-Instruct,8,sharegpt,,,overlap_fused,32.34,13373.41,6414.20,215196,198343
Llama-3.3-70B-Instruct,4,sharegpt,,,no_ar,22.38,9256.55,4439.66,215196,198343
Llama-3.3-70B-Instruct,4,sharegpt,,,baseline_multimem,19.80,8188.09,3927.20,215196,198343
Llama-3.3-70B-Instruct,4,sharegpt,,,overlap_fused,21.26,8792.62,4217.15,215196,198343
Qwen2.5-72B-Instruct,8,sharegpt,,,no_ar,32.82,13759.67,6624.72,217393,201847
Qwen2.5-72B-Instruct,8,sharegpt,,,baseline_multimem,26.45,11087.28,5338.07,217393,201847
Qwen2.5-72B-Instruct,8,sharegpt,,,overlap_fused,31.20,13078.20,6296.62,217393,201847
Qwen2.5-72B-Instruct,4,sharegpt,,,no_ar,21.22,8897.94,4284.00,217393,201847
Qwen2.5-72B-Instruct,4,sharegpt,,,baseline_multimem,18.86,7905.70,3806.27,217393,201847
Qwen2.5-72B-Instruct,4,sharegpt,,,overlap_fused,20.30,8510.15,4097.29,217393,201847
Mixtral-8x22B-Instruct-v0.1,8,sharegpt,,,no_ar,25.69,12134.74,5942.37,241080,231347
Mixtral-8x22B-Instruct-v0.1,8,sharegpt,,,baseline_multimem,22.12,10451.25,5117.97,241080,231347
Mixtral-8x22B-Instruct-v0.1,8,sharegpt,,,overlap_fused,24.17,11418.27,5591.51,241080,231347
