model_name,gpu_count,dataset,input_len,output_len,impl,requests_per_sec,total_tokens_per_sec,output_tokens_per_sec,total_prompt_tokens,total_output_tokens
Llama-3.3-70B-Instruct,8,random,512,128,no_ar,34.21,21893.80,4378.76,512000,128000
Llama-3.3-70B-Instruct,8,random,512,128,baseline_multimem,27.57,17643.76,3528.75,512000,128000
Llama-3.3-70B-Instruct,8,random,512,128,overlap_fused,33.10,21184.01,4236.80,512000,128000
Llama-3.3-70B-Instruct,4,random,512,128,no_ar,19.71,12615.61,2523.12,512000,128000
Llama-3.3-70B-Instruct,4,random,512,128,baseline_multimem,17.53,11218.22,2243.64,512000,128000
Llama-3.3-70B-Instruct,4,random,512,128,overlap_fused,19.29,12347.44,2469.49,512000,128000
Qwen2.5-72B-Instruct,8,random,512,128,no_ar,33.18,21232.36,4246.47,512000,128000
Qwen2.5-72B-Instruct,8,random,512,128,baseline_multimem,26.95,17244.92,3448.98,512000,128000
Qwen2.5-72B-Instruct,8,random,512,128,overlap_fused,32.48,20784.64,4156.93,512000,128000
Qwen2.5-72B-Instruct,4,random,512,128,no_ar,19.04,12184.22,2436.84,512000,128000
Qwen2.5-72B-Instruct,4,random,512,128,baseline_multimem,16.97,10863.88,2172.78,512000,128000
Qwen2.5-72B-Instruct,4,random,512,128,overlap_fused,18.82,12043.36,2408.67,512000,128000
Mixtral-8x22B-Instruct-v0.1,8,random,512,128,no_ar,49.10,31421.81,6284.36,512000,128000
Mixtral-8x22B-Instruct-v0.1,8,random,512,128,baseline_multimem,41.86,26787.51,5357.50,512000,128000
Mixtral-8x22B-Instruct-v0.1,8,random,512,128,overlap_fused,45.85,29344.76,5868.95,512000,128000
Llama-3.3-70B-Instruct,8,random,1024,128,no_ar,19.47,22430.20,2492.24,1024000,128000
Llama-3.3-70B-Instruct,8,random,1024,128,baseline_multimem,15.66,18045.67,2005.07,1024000,128000
Llama-3.3-70B-Instruct,8,random,1024,128,overlap_fused,19.44,22389.14,2487.68,1024000,128000
Llama-3.3-70B-Instruct,4,random,1024,128,no_ar,12.38,14263.91,1584.88,1024000,128000
Llama-3.3-70B-Instruct,4,random,1024,128,baseline_multimem,11.02,12690.10,1410.01,1024000,128000
Llama-3.3-70B-Instruct,4,random,1024,128,overlap_fused,11.43,13169.73,1463.30,1024000,128000
Qwen2.5-72B-Instruct,8,random,1024,128,no_ar,18.85,21718.21,2413.13,1024000,128000
Qwen2.5-72B-Instruct,8,random,1024,128,baseline_multimem,15.22,17531.37,1947.93,1024000,128000
Qwen2.5-72B-Instruct,8,random,1024,128,overlap_fused,19.02,21905.99,2434.00,1024000,128000
Qwen2.5-72B-Instruct,4,random,1024,128,no_ar,11.92,13737.01,1526.33,1024000,128000
Qwen2.5-72B-Instruct,4,random,1024,128,baseline_multimem,10.66,12281.66,1364.63,1024000,128000
Qwen2.5-72B-Instruct,4,random,1024,128,overlap_fused,11.19,12894.74,1432.75,1024000,128000
Mixtral-8x22B-Instruct-v0.1,8,random,1024,128,no_ar,28.37,32677.88,3630.88,1024000,128000
Mixtral-8x22B-Instruct-v0.1,8,random,1024,128,baseline_multimem,24.01,27656.30,3072.92,1024000,128000
Mixtral-8x22B-Instruct-v0.1,8,random,1024,128,overlap_fused,26.88,30969.82,3441.09,1024000,128000
Llama-3.3-70B-Instruct,8,random,2048,128,no_ar,11.13,24217.79,1424.58,2048000,128000
Llama-3.3-70B-Instruct,8,random,2048,128,baseline_multimem,8.92,19410.24,1141.78,2048000,128000
Llama-3.3-70B-Instruct,8,random,2048,128,overlap_fused,10.77,23443.76,1379.04,2048000,128000
