model_name,gpu_count,impl,prompt_len,avg_latency(ms)
Llama-3.3-70B-Instruct,8,baseline_multimem,1024,53.64346352095405
Llama-3.3-70B-Instruct,8,baseline_multimem,2048,93.91800121714671
Llama-3.3-70B-Instruct,8,baseline_multimem,4096,179.08191460495195
Llama-3.3-70B-Instruct,8,baseline_multimem,8192,354.68152857696015
Llama-3.3-70B-Instruct,8,baseline_multimem,16384,733.5313392492632
Llama-3.3-70B-Instruct,8,baseline_multimem,32768,1628.900156263262
Llama-3.3-70B-Instruct,8,no_ar1,1024,47.447691950947046
Llama-3.3-70B-Instruct,8,no_ar1,2048,83.01067377130191
Llama-3.3-70B-Instruct,8,no_ar1,4096,160.4675816061596
Llama-3.3-70B-Instruct,8,no_ar1,8192,323.51775290444493
Llama-3.3-70B-Instruct,8,no_ar1,16384,677.1294307895005
Llama-3.3-70B-Instruct,8,no_ar1,32768,1519.63597011442
Llama-3.3-70B-Instruct,8,no_ar2,1024,47.81032664080461
Llama-3.3-70B-Instruct,8,no_ar2,2048,82.98923292507727
Llama-3.3-70B-Instruct,8,no_ar2,4096,159.34233898296952
Llama-3.3-70B-Instruct,8,no_ar2,8192,320.4222555893163
Llama-3.3-70B-Instruct,8,no_ar2,16384,674.7037787611285
Llama-3.3-70B-Instruct,8,no_ar2,32768,1504.3995642724137
Llama-3.3-70B-Instruct,8,no_ln1,1024,51.55131537467241
Llama-3.3-70B-Instruct,8,no_ln1,2048,90.00012359271447
Llama-3.3-70B-Instruct,8,no_ln1,4096,171.5430693080028
Llama-3.3-70B-Instruct,8,no_ln1,8192,340.32344842950505
Llama-3.3-70B-Instruct,8,no_ln1,16384,703.1849808990955
Llama-3.3-70B-Instruct,8,no_ln1,32768,1569.4773688912392
Llama-3.3-70B-Instruct,8,no_ln2,1024,51.77189785366257
Llama-3.3-70B-Instruct,8,no_ln2,2048,90.12459799026449
Llama-3.3-70B-Instruct,8,no_ln2,4096,171.61617012073597
Llama-3.3-70B-Instruct,8,no_ln2,8192,340.4078054552277
Llama-3.3-70B-Instruct,8,no_ln2,16384,702.2052537960311
Llama-3.3-70B-Instruct,8,no_ln2,32768,1564.561284550776
Qwen2.5-72B-Instruct,8,baseline_multimem,1024,54.251317835102476
Qwen2.5-72B-Instruct,8,baseline_multimem,2048,96.83186865101258
Qwen2.5-72B-Instruct,8,baseline_multimem,4096,183.28605191782117
Qwen2.5-72B-Instruct,8,baseline_multimem,8192,355.4795402723054
Qwen2.5-72B-Instruct,8,baseline_multimem,16384,746.8896416326364
Qwen2.5-72B-Instruct,8,baseline_multimem,32768,1650.8408010937274
Qwen2.5-72B-Instruct,8,no_ar1,1024,47.98895784964164
Qwen2.5-72B-Instruct,8,no_ar1,2048,86.08463338265817
Qwen2.5-72B-Instruct,8,no_ar1,4096,163.80445389077067
Qwen2.5-72B-Instruct,8,no_ar1,8192,327.2837405403455
Qwen2.5-72B-Instruct,8,no_ar1,16384,689.1818537997702
Qwen2.5-72B-Instruct,8,no_ar1,32768,1543.3228166463475
Qwen2.5-72B-Instruct,8,no_ar2,1024,48.342424972603716
Qwen2.5-72B-Instruct,8,no_ar2,2048,86.14762298141916
Qwen2.5-72B-Instruct,8,no_ar2,4096,163.26828307161728
Qwen2.5-72B-Instruct,8,no_ar2,8192,325.73515037074685
Qwen2.5-72B-Instruct,8,no_ar2,16384,687.1870223122338
Qwen2.5-72B-Instruct,8,no_ar2,32768,1530.850405773769
Qwen2.5-72B-Instruct,8,no_ln1,1024,52.37039355561137
Qwen2.5-72B-Instruct,8,no_ln1,2048,92.88374781608582
Qwen2.5-72B-Instruct,8,no_ln1,4096,175.63982798407474
Qwen2.5-72B-Instruct,8,no_ln1,8192,342.16686161234975
Qwen2.5-72B-Instruct,8,no_ln1,16384,725.5735131911933
Qwen2.5-72B-Instruct,8,no_ln1,32768,1599.863181790958
Qwen2.5-72B-Instruct,8,no_ln2,1024,52.5275683340927
Qwen2.5-72B-Instruct,8,no_ln2,2048,93.25534232581656
Qwen2.5-72B-Instruct,8,no_ln2,4096,175.95113515853882
Qwen2.5-72B-Instruct,8,no_ln2,8192,341.8448399441938
Qwen2.5-72B-Instruct,8,no_ln2,16384,721.4748745163282
Qwen2.5-72B-Instruct,8,no_ln2,32768,1599.1606229295332
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,1024,42.52675594761968
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,2048,67.5950196882089
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,4096,120.29343812415998
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,8192,229.2141430079937
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,16384,466.9275860612591
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,32768,1013.7077294600507
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,1024,39.53543594107032
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,2048,62.25927919149399
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,4096,109.83482105657458
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,8192,210.62083896249533
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,16384,437.6788445437948
Mixtral-8x22B-Instruct-v0.1,8,no_ar1,32768,965.680825834473
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,1024,38.84451352059841
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,2048,61.95433288812637
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,4096,109.46262090777357
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,8192,208.56660849725208
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,16384,434.68216105053824
Mixtral-8x22B-Instruct-v0.1,8,no_ar2,32768,951.8273597583175
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,1024,41.121200720469155
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,2048,64.79981305698554
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,4096,115.24183349683881
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,8192,221.5777138248086
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,16384,452.3750850309928
Mixtral-8x22B-Instruct-v0.1,8,no_ln1,32768,979.948952794075
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,1024,40.37774003421267
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,2048,65.35298923651378
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,4096,114.70197895541787
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,8192,220.80857378120223
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,16384,453.2727659679949
Mixtral-8x22B-Instruct-v0.1,8,no_ln2,32768,982.7699723653495
