model,prompt_len,baseline_multimem,no_ar,overlap_fused
Llama-3.3-70B-Instruct,1024,53.66141341316203,41.937577460582055,46.164291305467486
Llama-3.3-70B-Instruct,2048,94.22666770406067,74.92181682027876,76.73199651762843
Llama-3.3-70B-Instruct,4096,179.48250393383205,144.89575503394008,142.22559120195606
Llama-3.3-70B-Instruct,8192,356.02313994119567,289.5496610241632,279.757047444582
Llama-3.3-70B-Instruct,16384,744.1146947443485,610.2191342351338,585.3406517766416
Llama-3.3-70B-Instruct,32768,1639.8628165324528,1371.3590488303453,1326.0355949557077
Llama-3.3-70B-Instruct,65536,3917.7414537097015,3338.340090587735,3282.3559656273574
Qwen2.5-72B-Instruct,1024,54.26873723044992,42.4672124752154,47.64487614544729
Qwen2.5-72B-Instruct,2048,97.05462396765748,77.77197249233723,79.006400393943
Qwen2.5-72B-Instruct,4096,183.3405944053084,149.0870352834463,146.70407753437755
Qwen2.5-72B-Instruct,8192,358.47641701499623,292.64367090848583,288.4289348497987
Qwen2.5-72B-Instruct,16384,754.611305721725,624.0445593527207,607.8760074451566
Qwen2.5-72B-Instruct,32768,1656.1298102606088,1393.443969854464,1368.7938862480223
Qwen2.5-72B-Instruct,65536,3977.5595936769,3410.280132154003,3219.7882582743964
Mixtral-8x22B-Instruct-v0.1,1024,42.94054390241703,36.42036464686195,69.13624666631222
Mixtral-8x22B-Instruct-v0.1,2048,68.15589040828247,57.11698465359708,69.89394227663676
Mixtral-8x22B-Instruct-v0.1,4096,121.36236360917488,102.20851923028629,107.71250952966513
Mixtral-8x22B-Instruct-v0.1,8192,230.6522756194075,195.63425335412225,199.43818002939224
Mixtral-8x22B-Instruct-v0.1,16384,470.9887120096634,405.1397009907912,399.21577152175206
Mixtral-8x22B-Instruct-v0.1,32768,1024.0274456019204,891.2743581769367,874.9142553502073
Mixtral-8x22B-Instruct-v0.1,65536,2383.093931262071,2109.825188511362,2104.1883816942573
