num_tokens,hidden_size,num_tokens_per_gpu,fused_arln_us_ctas_2,fused_arln_us_ctas_4,fused_arln_us_ctas_8,fused_arln_us_ctas_16,fused_arln_us_ctas_32,fused_arln_us_ctas_64,fused_arln_us_ctas_128
64,8192,18.400000408291817,23.264000192284584,18.65600049495697,18.303999677300453,17.08799973130226,17.56799966096878,18.36800016462803,18.303999677300453
128,8192,22.08000048995018,36.768000572919846,27.2000003606081,23.135999217629436,22.048000246286392,21.695999428629875,21.95199951529503,22.5600004196167
256,8192,32.255999743938446,61.24800071120262,41.98399931192398,33.663999289274216,30.079999938607216,31.90400078892708,33.504001796245575,33.24799984693527
512,8192,55.135998874902725,110.01600325107574,70.75200229883194,51.263999193906784,45.05600035190582,47.968000173568726,55.10399863123894,55.55199831724167
1024,8192,100.44799745082857,207.8080028295517,128.03199887275696,86.62399649620056,75.3600001335144,78.68800312280655,86.27200126647949,100.8640006184578
2048,8192,188.8960003852844,403.1359851360321,240.35200476646423,155.42399883270264,137.08800077438354,138.59200477600098,150.01599490642548,163.35999965667725
4096,8192,339.04001116752625,792.8320169448853,465.85598587989807,290.8479869365692,258.2400143146515,259.8400115966797,274.97598528862,300.1599907875061
8192,8192,621.3439702987671,1571.1359977722168,913.8240218162535,561.6959929466248,503.4559965133667,502.3360252380371,518.0799961090088,567.6800012588501
16384,8192,1198.7839937210083,3125.375986099243,1797.8559732437134,1103.0080318450928,1004.256010055542,987.3279929161072,1003.5519599914552,1078.3360004425049
32768,8192,2323.328018188477,6240.767955780029,3558.3999156951904,2184.0319633483887,1972.0959663391116,1965.6000137329104,1975.7119417190552,2064.127922058105
