model_name,gpu_count,impl,prompt_len,avg_latency(ms)
Qwen3-235B-A22B,8,baseline_multimem,1024,62.103912265350424
Qwen3-235B-A22B,8,baseline_multimem,2048,92.44246355568369
Qwen3-235B-A22B,8,baseline_multimem,4096,150.90205903785923
Qwen3-235B-A22B,8,baseline_multimem,8192,283.361151178057
Qwen3-235B-A22B,8,baseline_multimem,16384,577.1483546278129
Qwen3-235B-A22B,8,baseline_multimem,32768,1293.7926867200683
Qwen3-235B-A22B,8,baseline_multimem,65536,3289.231759837518
Qwen3-235B-A22B,8,baseline_fused,1024,58.912365697324276
Qwen3-235B-A22B,8,baseline_fused,2048,87.92218519374728
Qwen3-235B-A22B,8,baseline_fused,4096,142.00917404765883
Qwen3-235B-A22B,8,baseline_fused,8192,265.9054709132761
Qwen3-235B-A22B,8,baseline_fused,16384,542.7829628034184
Qwen3-235B-A22B,8,baseline_fused,32768,1225.7012710906565
Qwen3-235B-A22B,8,baseline_fused,65536,3155.128755653277
Qwen3-235B-A22B,8,no_ar,1024,58.17280441212157
Qwen3-235B-A22B,8,no_ar,2048,80.8929640178879
Qwen3-235B-A22B,8,no_ar,4096,126.09840941925843
Qwen3-235B-A22B,8,no_ar,8192,235.2842363063246
Qwen3-235B-A22B,8,no_ar,16384,480.511086822177
Qwen3-235B-A22B,8,no_ar,32768,1104.4477105606347
Qwen3-235B-A22B,8,no_ar,65536,2906.5152851243815
Qwen3-235B-A22B,8,overlap_fused,1024,60.893651408453785
Qwen3-235B-A22B,8,overlap_fused,2048,128.61008833472928
Qwen3-235B-A22B,8,overlap_fused,4096,157.69247308683893
Qwen3-235B-A22B,8,overlap_fused,8192,254.98293655303618
Qwen3-235B-A22B,8,overlap_fused,16384,500.2991940981398
Qwen3-235B-A22B,8,overlap_fused,32768,1124.1305290566136
Qwen3-235B-A22B,8,overlap_fused,65536,2937.641486277183
