BL,hidden_size,pytorch_dist_ar_us,multimem_ar_us_ctas_2,multimem_ar_us_ctas_4,multimem_ar_us_ctas_8,multimem_ar_us_ctas_16,multimem_ar_us_ctas_32
64,8192,35.891199856996536,17.920000478625298,16.51199907064438,17.055999487638474,16.831999644637108,17.823999747633934
128,8192,55.558400601148605,24.09599907696247,20.38400061428547,20.38400061428547,19.999999552965164,20.8320003002882
256,8192,67.07199960947037,36.80000081658363,28.416000306606293,28.48000079393387,29.120000079274178,32.80000016093254
512,8192,94.38080191612244,61.02399900555611,44.51199993491173,43.7760017812252,44.319998472929,48.73599857091904
1024,8192,136.96640133857727,107.80800133943558,76.06399804353714,75.13599842786789,75.39200037717819,79.93599772453308
2048,8192,219.48800086975098,201.664000749588,138.46400380134585,135.74400544166565,136.1600011587143,140.19200205802915
4096,8192,348.0768024921417,387.64798641204834,262.2399926185608,257.27999210357666,257.24801421165466,262.3359858989716
8192,8192,646.1695909500122,764.3200159072876,509.0559720993042,501.0240077972412,500.9599924087525,505.3120255470276
16384,8192,1231.6224098205566,1510.8799934387207,1002.079963684082,986.5599870681764,985.9840273857116,990.880012512207
32768,8192,2405.5295944213867,3006.239891052246,1990.239977836609,1959.2000246047971,1956.928014755249,1961.5999460220337
