num_tokens,hidden_size,num_tokens_per_gpu,fused_arln_us_ctas_2,fused_arln_us_ctas_4,fused_arln_us_ctas_8,fused_arln_us_ctas_16,fused_arln_us_ctas_32,fused_arln_us_ctas_64,fused_arln_us_ctas_128
64,8192,18.94400082528591,23.264000192284584,19.16800066828728,17.855999991297722,17.503999173641205,17.40800030529499,17.88800023496151,18.079999834299088
128,8192,22.112000733613968,36.47999837994576,27.2000003606081,23.264000192284584,21.75999991595745,21.21599949896336,21.983999758958817,22.463999688625336
256,8192,31.87200054526329,61.40799820423126,42.30400174856186,33.63199904561043,29.311999678611755,32.287999987602234,32.00000151991844,33.08799862861633
512,8192,55.07199838757515,110.52799969911575,70.46400010585785,51.42400041222572,44.67200115323067,47.74399846792221,55.135998874902725,55.48800155520439
1024,8192,100.44799745082857,207.0080041885376,128.48000228405,86.59200370311737,75.39200037717819,78.72000336647034,86.33600175380707,100.99200159311296
2048,8192,188.80000710487369,402.9119908809662,240.9279942512512,155.2640050649643,137.34400272369385,138.59200477600098,149.88799393177032,163.42400014400482
4096,8192,340.4799997806549,791.9679880142212,466.0159945487976,291.00799560546875,258.2400143146515,260.73598861694336,274.04800057411194,298.5599935054779
8192,8192,619.3919777870178,1571.295976638794,912.768006324768,562.5280141830444,504.12797927856445,503.2960176467896,517.7279710769653,567.6479935646057
16384,8192,1196.128010749817,3126.7518997192383,1801.8560409545896,1103.0080318450928,1005.0560235977172,989.952027797699,1003.2960176467896,1075.9680271148682
32768,8192,2328.831911087036,6239.64786529541,3568.8960552215576,2182.4960708618164,1972.000002861023,1966.0799503326416,1975.232005119324,2061.1839294433594
