BL,hidden_size,multimem_ctas,correctness,pytorch_dist_ar_us,multimem_ar_us,pytorch_dist_rs_us,multimem_rs_us,pytorch_dist_ag_us,multimem_ag_us
64,8192,4,True,36.41600161790848,15.968000516295431,29.440000653266907,15.744000673294067,30.84800019860268,13.919999822974203
128,8192,16,True,55.96800148487091,20.767999812960625,35.26400029659271,19.36000026762485,35.26400029659271,16.831999644637108
256,8192,4,True,67.19999760389328,28.863999992609024,56.51199817657471,25.696000084280968,50.23999884724617,22.175999358296394
512,8192,8,True,94.62399780750276,43.96799951791763,64.12799656391144,37.11999952793121,60.095999389886856,33.663999289274216
1024,8192,8,True,137.11999356746674,74.94399696588516,90.81599861383438,60.03199890255928,89.37600255012512,55.32800033688545
2048,8192,16,True,219.64800357818604,135.8720064163208,125.44000148773192,106.01600259542464,136.4160031080246,100.44799745082857
4096,8192,8,True,347.7439880371094,257.4400007724762,209.85600352287287,200.3519982099533,217.8560048341751,189.91999328136444
8192,8192,16,True,644.864022731781,500.60802698135376,396.60799503326416,383.5839927196503,396.9919979572296,369.1520094871521
16384,8192,16,True,1229.472041130066,985.7919812202454,732.0320010185242,752.9600262641907,757.6959729194641,727.4559736251831
32768,8192,16,True,2406.0800075531006,1956.0320377349851,1419.7759628295898,1496.2879419326782,1438.143968582153,1444.2559480667114
