BL,hidden_size,full_rms_norm_us,partial_rms_norm_us,torch_all_reduce_us,multimem_all_reduce_us,fused_arln_us,simple_fusion_arln_us,multimem_rs_us,multimem_ag_us
64,8192,8.352000266313553,7.807999849319458,35.99999845027924,16.543999314308167,17.08799973130226,25.82399919629097,16.095999628305435,13.663999736309052
128,8192,9.600000455975533,7.840000092983246,54.88000065088272,20.191999152302746,21.695999428629875,29.503999277949333,18.592000007629395,16.607999801635742
256,8192,11.90400030463934,8.00000037997961,66.52799993753433,28.063999488949776,30.079999938607216,40.76800122857094,24.224000051617622,21.727999672293663
512,8192,18.303999677300453,8.608000352978706,94.68799829483032,43.68000105023384,45.05600035190582,63.84000182151794,35.90400144457817,32.896000891923904
1024,8192,29.920000582933422,9.79200005531311,137.1839940547943,74.78400319814682,75.3600001335144,109.92000252008438,59.10399928689003,55.23199960589409
2048,8192,51.83999985456467,12.160000391304491,219.7120040655136,135.8720064163208,137.08800077438354,203.74399423599243,104.73600029945374,100.00000149011612
4096,8192,96.28800302743912,18.592000007629395,347.6159870624542,257.24801421165466,258.2400143146515,388.3199989795685,197.63199985027316,189.63199853897092
8192,8192,184.1920018196106,29.920000582933422,646.1120247840881,500.1599788665772,502.3360252380371,712.7040028572083,381.4080059528351,368.9599931240082
16384,8192,361.0880076885224,52.25599929690361,1232.0319414138794,985.9520196914672,987.3279929161072,1307.647943496704,749.8239874839783,727.1360158920288
32768,8192,712.4159932136536,96.51199728250504,2402.463912963867,1956.6080570220947,1965.6000137329104,2482.815980911255,1485.0560426712036,1443.7439441680908
