chunk_size,experiment,baseline_multimem,no_ar,overlap_fused
1024,"(512, 128)",15948.15,19825.81,18974.04
1024,"(1024, 128)",16714.49,20779.2,20001.41
1024,"(2048, 128)",17307.37,21629.09,20690.13
1024,ShareGPT,10883.56,13455.99,12954.4
2048,"(512, 128)",17786.64,21950.82,21377.05
2048,"(1024, 128)",18055.77,22466.87,22399.67
2048,"(2048, 128)",19430.41,24120.82,23381.56
2048,ShareGPT,11434.85,14215.39,13374.38
4096,"(512, 128)",18956.96,23420.98,23251.8
4096,"(1024, 128)",19093.96,23480.66,23796.67
4096,"(2048, 128)",21777.43,26840.22,25443.04
4096,ShareGPT,11807.91,14758.31,13714.53
8192,"(512, 128)",20513.87,25167.97,24769.6
8192,"(1024, 128)",20308.72,25029.87,25281.88
8192,"(2048, 128)",22329.72,27369.47,28182.5
8192,ShareGPT,12047.78,15096.03,13947.95
