BL,hidden_size,pytorch_dist_ar_us,multimem_ar_us_ctas_2,multimem_ar_us_ctas_4,multimem_ar_us_ctas_8,multimem_ar_us_ctas_16,multimem_ar_us_ctas_32
64,8192,36.665601283311844,18.78399960696697,15.968000516295431,17.75999926030636,18.079999834299088,16.992000862956047
128,8192,55.692799389362335,24.320000782608982,20.8320003002882,21.023999899625775,20.767999812960625,21.21599949896336
256,8192,67.18079745769501,38.047999143600464,28.863999992609024,29.24799919128418,29.311999678611755,32.3840007185936
512,8192,94.60479766130447,61.47199869155884,45.05600035190582,43.96799951791763,44.319998472929,49.05600100755692
1024,8192,137.17119991779327,108.5439994931221,76.31999999284744,74.94399696588516,75.3600001335144,79.71200346946716
2048,8192,219.79520320892334,202.68799364566803,139.0399932861328,136.3839954137802,135.8720064163208,141.31200313568115
4096,8192,347.8783905506134,388.3199989795685,262.36799359321594,257.4400007724762,257.5039863586426,262.56000995635986
8192,8192,646.2016105651855,763.2319927215576,509.8879933357239,501.3759732246399,500.60802698135376,505.72800636291504
16384,8192,1231.9168090820312,1508.3199739456177,1002.303957939148,987.2000217437744,985.7919812202454,992.031991481781
32768,8192,2404.524803161621,2995.7759380340576,1991.1680221557615,1959.5839977264404,1956.0320377349851,1960.5120420455933
